CLAVE ,DESCRIPCION 
1,México
2,Guadalajara
3,Monterrey
4,Puebla
5,León
7,San Luis Potosí
8,Mérida
9,Chihuahua
10,Tampico
12,Veracruz
13,Acapulco
14,Aguascalientes
15,Morelia
16,Toluca
17,Saltillo
18,Villahermosa
19,Tuxtla Gutiérrez
21,Tijuana
24,Culiacán
25,Hermosillo
26,Durango
27,Tepic
28,Campeche
29,Cuernavaca
31,Oaxaca
32,Zacatecas
33,Colima
36,Querétaro
39,Tlaxcala
40,La Paz
41,Cancún
43,Pachuca
81,Complemento urbano-Rural
82,Complemento urbano-Rural
83,Complemento urbano-Rural
84,Complemento urbano-Rural
85,Complemento urbano-Rural
86,Complemento urbano-Rural
