CLAVE ,DESCRIPCION 
0,Menores de 1 año
1,1 año
2,2 años
3,3 años
4,4 años
5,5 años
6,6 años
7,7 años
8,8 años
9,9 años
10,10 años
11,11 años
12,12 años
13,13 años
14,14 años
15,15 años
16,16 años
17,17 años
18,18 años 
19,19 años 
20,20 años 
21,21 años 
22,22 años 
23,23 años 
24,24 años 
25,25 años 
26,26 años 
27,27 años 
28,28 años 
29,29 años 
30,30 años 
31,31 años 
32,32 años 
33,33 años 
34,34 años 
35,35 años 
36,36 años 
37,37 años 
38,38 años 
39,39 años 
40,40 años 
41,41 años 
42,42 años 
43,43 años 
44,44 años 
45,45 años 
46,46 años 
47,47 años 
48,48 años 
49,49 años 
50,50 años 
51,51 años 
52,52 años 
53,53 años 
54,54 años 
55,55 años 
56,56 años 
57,57 años 
58,58 años 
59,59 años 
60,60 años 
61,61 años 
62,62 años 
63,63 años 
64,64 años 
65,65 años 
66,66 años 
67,67 años 
68,68 años 
69,69 años 
70,70 años 
71,71 años 
72,72 años 
73,73 años 
74,74 años 
75,75 años 
76,76 años 
77,77 años 
78,78 años 
79,79 años 
80,80 años 
81,81 años 
82,82 años 
83,83 años 
84,84 años 
85,85 años 
86,86 años 
87,87 años 
88,88 años 
89,89 años 
90,90 años 
91,91 años 
92,92 años 
93,93 años 
94,94 años 
95,95 años 
96,96 años 
97,97 años 
98,Edad no especificada de 12 ó más años
99,Edad no especificada de menores de 12 años
