CLAVE ,DESCRIPCION 
1,Renglón uno de los integrantes del hogar (persona elegida)  
2,Renglón dos de los integrantes del hogar (persona elegida) 
3,Renglón tres de los integrantes del hogar (persona elegida) 
4,Renglón cuatro de los integrantes del hogar (persona elegida) 
5,Renglón cinco de los integrantes del hogar (persona elegida) 
6,Renglón seis de los integrantes del hogar (persona elegida) 
7,Renglón siete de los integrantes del hogar (persona elegida) 
8,Renglón ocho de los integrantes del hogar (persona elegida) 
9,Renglón nueve de los integrantes del hogar (persona elegida) 
10,Renglón diez de los integrantes del hogar (persona elegida) 
11,Renglón once de los integrantes del hogar (persona elegida) 
12,Renglón doce de los integrantes del hogar (persona elegida) 
