folio,entidad,control,viv_sel,num_hog,hog_mud,n_ren_ele,cd,periodo,sexo,edad,nivel,anio,cond_activ,p1,p2,p3,p3_8esp,p4,p4_8esp,p5,p6,p6_8esp,p7,p8,p9,p10,p11,p11_8esp,p12_1,p12_2,p12_3,p12_4,p13,p13_8esp,p14,p14_8esp,p15,p16,p17,p18,p18_8esp,obs,tipracsem,actfis,factor,upm_dis,est_dis
11B213,1,40003,4,1,0,1,14,1122,2,65,2,6,7,1,0,0,,0,,0,0,,2,5,30,1,1,,0,0,0,4,4,,7,,1,1,1,0,,,90,12,7381,1,2
11B213,1,40003,3,1,0,2,14,1122,2,44,3,3,7,2,1,2,,0,,1,2,,0,0,0,0,0,,0,0,0,0,0,,0,,0,0,0,0,,,0,1,32378,1,2
11B213,1,40003,1,1,0,1,14,1122,1,53,3,3,1,2,1,3,,0,,2,0,,0,0,0,0,0,,0,0,0,0,0,,0,,0,0,0,0,,,0,1,6385,1,2
11B213,1,40003,2,1,0,1,14,1122,1,29,4,3,1,2,1,5,,0,,1,1,,0,0,0,0,0,,0,0,0,0,0,,0,,0,0,0,0,,,0,1,8624,1,2
12A204,1,40005,3,1,0,1,14,1122,1,55,7,5,1,2,1,5,,0,,2,0,,0,0,0,0,0,,0,0,0,0,0,,0,,0,0,0,0,,,0,1,34576,2,3
12A204,1,40005,4,1,0,1,14,1122,2,52,8,2,7,2,1,5,,0,,2,0,,0,0,0,0,0,,0,0,0,0,0,,0,,0,0,0,0,,,0,1,17188,2,3
12A204,1,40005,2,1,0,1,14,1122,2,29,7,5,1,1,0,0,,0,,0,0,,2,5,30,1,1,,0,0,3,0,4,,7,,1,1,2,0,,,90,12,21638,2,3
12A204,1,40005,1,1,0,1,14,1122,1,57,4,3,1,2,1,5,,0,,1,1,,0,0,0,0,0,,0,0,0,0,0,,0,,0,0,0,0,,,0,1,25932,2,3
12A207,1,40007,1,1,0,1,14,1122,1,53,3,3,1,1,0,0,,0,,0,0,,2,4,60,1,1,,0,0,0,4,4,,7,,1,1,2,0,,,240,11,15694,3,3
12A207,1,40007,3,1,0,2,14,1122,2,35,3,3,1,2,1,3,,0,,2,0,,0,0,0,0,0,,0,0,0,0,0,,0,,0,0,0,0,,,0,1,21221,3,3
12A207,1,40007,4,1,0,1,14,1122,1,52,6,3,1,2,2,0,,5,,2,0,,0,0,0,0,0,,0,0,0,0,0,,0,,0,0,0,0,,,0,2,20925,3,3
12A207,1,40007,2,1,0,2,14,1122,2,73,2,6,7,2,1,3,,0,,2,0,,0,0,0,0,0,,0,0,0,0,0,,0,,0,0,0,0,,,0,1,12093,3,3
11A218,1,40029,1,1,0,1,14,1122,2,39,3,3,7,2,2,0,,5,,2,0,,0,0,0,0,0,,0,0,0,0,0,,0,,0,0,0,0,,,0,2,14509,4,2
11A218,1,40029,4,1,0,1,14,1122,2,34,3,3,1,2,1,5,,0,,2,0,,0,0,0,0,0,,0,0,0,0,0,,0,,0,0,0,0,,,0,1,25677,4,2
11A218,1,40029,3,1,0,1,14,1122,1,62,2,2,8,2,1,5,,0,,1,1,,0,0,0,0,0,,0,0,0,0,0,,0,,0,0,0,0,,,0,1,20515,4,2
11A218,1,40029,2,1,0,4,14,1122,1,41,3,3,1,2,1,5,,0,,1,1,,0,0,0,0,0,,0,0,0,0,0,,0,,0,0,0,0,,,0,1,34489,4,2
12B213,1,40034,4,1,0,2,14,1122,2,22,7,4,1,2,1,2,,0,,2,0,,0,0,0,0,0,,0,0,0,0,0,,0,,0,0,0,0,,,0,1,54727,5,3
12B213,1,40034,2,1,0,1,14,1122,1,53,7,5,1,2,1,2,,0,,1,1,,0,0,0,0,0,,0,0,0,0,0,,0,,0,0,0,0,,,0,1,14875,5,3
12B213,1,40034,1,1,0,2,14,1122,2,56,4,3,1,2,1,3,,0,,2,0,,0,0,0,0,0,,0,0,0,0,0,,0,,0,0,0,0,,,0,1,19536,5,3
12B213,1,40034,3,1,0,1,14,1122,1,35,4,3,1,2,1,5,,0,,2,0,,0,0,0,0,0,,0,0,0,0,0,,0,,0,0,0,0,,,0,1,17929,5,3
12A218,1,40095,2,1,0,2,14,1122,2,56,7,5,1,2,1,3,,0,,1,1,,0,0,0,0,0,,0,0,0,0,0,,0,,0,0,0,0,,,0,1,16825,6,3
12A218,1,40095,3,1,0,1,14,1122,1,65,7,5,8,2,1,5,,0,,2,0,,0,0,0,0,0,,0,0,0,0,0,,0,,0,0,0,0,,,0,1,21038,6,3
12A218,1,40095,4,1,0,1,14,1122,2,40,6,3,1,2,1,5,,0,,1,1,,0,0,0,0,0,,0,0,0,0,0,,0,,0,0,0,0,,,0,1,6496,6,3
12A218,1,40095,1,1,0,1,14,1122,2,72,2,6,7,1,0,0,,0,,0,0,,2,5,3,1,1,,0,0,0,4,4,,7,,1,1,1,0,,,9,12,7404,6,3
12A205,1,40165,2,1,0,2,14,1122,2,40,3,3,7,2,1,5,,0,,2,0,,0,0,0,0,0,,0,0,0,0,0,,0,,0,0,0,0,,,0,1,22022,7,3
12A205,1,40165,3,1,0,1,14,1122,2,42,2,6,1,1,0,0,,0,,0,0,,2,5,60,1,1,,0,0,0,4,3,,7,,1,1,2,0,,,180,11,14681,7,3
12A205,1,40165,4,1,0,3,14,1122,1,22,4,3,1,1,0,0,,0,,0,0,,1,6,90,2,1,,1,0,0,0,1,,7,,3,1,2,0,,,180,12,35495,7,3
12A205,1,40165,1,1,0,2,14,1122,2,27,7,4,1,1,0,0,,0,,0,0,,2,3,60,1,2,,0,0,0,4,2,,7,,1,1,2,0,,,300,11,25981,7,3
12B211,1,40188,4,1,0,2,14,1122,2,48,3,3,1,1,0,0,,0,,0,0,,2,5,30,1,1,,0,0,0,4,3,,2,,2,2,0,0,,,90,12,13461,8,3
12B211,1,40188,3,1,0,1,14,1122,2,60,7,5,8,1,0,0,,0,,0,0,,2,3,60,1,1,,1,0,0,0,4,,7,,1,2,0,0,,,300,11,12400,8,3
12B211,1,40188,1,1,0,1,14,1122,1,38,4,3,1,1,0,0,,0,,0,0,,3,4,60,2,2,,0,0,3,0,3,,7,,1,1,1,0,,,240,11,17070,8,3
12B211,1,40188,2,1,0,1,14,1122,1,29,3,3,1,2,1,2,,0,,1,1,,0,0,0,0,0,,0,0,0,0,0,,0,,0,0,0,0,,,0,1,28694,8,3
13A206,1,40294,4,1,0,1,14,1122,1,47,9,2,1,2,1,2,,0,,1,1,,0,0,0,0,0,,0,0,0,0,0,,0,,0,0,0,0,,,0,1,17807,9,4
13A206,1,40294,3,1,0,1,14,1122,1,43,4,3,1,1,0,0,,0,,0,0,,2,5,60,1,2,,0,2,0,0,4,,7,,1,1,1,0,,,180,11,32195,9,4
11A206,1,40324,1,1,0,1,14,1122,2,61,2,6,7,2,1,2,,0,,1,1,,0,0,0,0,0,,0,0,0,0,0,,0,,0,0,0,0,,,0,1,16711,10,2
11A206,1,40324,3,1,0,1,14,1122,1,42,4,1,1,1,0,0,,0,,0,0,,1,6,60,1,1,,1,0,0,0,1,,3,,3,1,1,0,,,120,12,15337,10,2
11A206,1,40324,2,1,0,2,14,1122,2,65,2,6,7,2,1,5,,0,,2,0,,0,0,0,0,0,,0,0,0,0,0,,0,,0,0,0,0,,,0,1,14707,10,2
11A206,1,40324,4,1,0,1,14,1122,1,28,7,5,1,2,1,5,,0,,1,1,,0,0,0,0,0,,0,0,0,0,0,,0,,0,0,0,0,,,0,1,17186,10,2
11B212,1,40350,1,1,0,1,14,1122,1,87,2,2,8,2,1,3,,0,,2,0,,0,0,0,0,0,,0,0,0,0,0,,0,,0,0,0,0,,,0,1,7303,11,2
11B212,1,40350,2,1,0,2,14,1122,2,55,2,6,1,2,1,5,,0,,2,0,,0,0,0,0,0,,0,0,0,0,0,,0,,0,0,0,0,,,0,1,29203,11,2
11B212,1,40350,3,1,0,2,14,1122,1,45,2,6,1,2,1,2,,0,,2,0,,0,0,0,0,0,,0,0,0,0,0,,0,,0,0,0,0,,,0,1,26684,11,2
11B212,1,40350,4,1,0,3,14,1122,2,50,2,6,1,2,2,0,,5,,2,0,,0,0,0,0,0,,0,0,0,0,0,,0,,0,0,0,0,,,0,2,25361,11,2
13B212,1,40355,1,1,0,1,14,1122,2,73,7,5,8,2,1,5,,0,,1,1,,0,0,0,0,0,,0,0,0,0,0,,0,,0,0,0,0,,,0,1,32968,12,4
13B212,1,40355,2,1,0,2,14,1122,2,54,7,5,1,2,1,2,,0,,1,2,,0,0,0,0,0,,0,0,0,0,0,,0,,0,0,0,0,,,0,1,36145,12,4
13B212,1,40355,3,1,0,2,14,1122,1,35,3,3,1,2,1,5,,0,,1,1,,0,0,0,0,0,,0,0,0,0,0,,0,,0,0,0,0,,,0,1,22919,12,4
13B212,1,40355,4,1,0,2,14,1122,2,21,7,1,1,2,1,2,,0,,2,0,,0,0,0,0,0,,0,0,0,0,0,,0,,0,0,0,0,,,0,1,41974,12,4
11A207,2,40007,2,1,0,1,21,1122,2,35,2,6,1,2,2,0,,5,,2,0,,0,0,0,0,0,,0,0,0,0,0,,0,,0,0,0,0,,,0,2,7033,13,2
