,precio_compra,precio_compra_por_m2,cee,balcon,armarios_empotrados,jardin,zonas_verdes,estacionamiento,pileta,trastero,terraza,tipo_inmueble,accesible,exterior,bajo,necesita_reforma,habitaciones,ubicacion,annio_construccion,piso,metros_cuadrados,bannos,zona,latitud,longitud
0,85000,1328,D,False,False,False,False,False,False,False,False,HouseType 1: Pisos,False,False,False,False,2,"San Cristóbal, Madrid",1960.0,3,64.0,1.0,sur,40.3433537,-3.6878175
1,72000,1125,F,False,False,False,False,False,False,False,True,HouseType 1: Pisos,False,False,False,False,3,"San Cristóbal, Madrid",1960.0,3,64.0,1.0,sur,40.3433537,-3.6878175
2,76000,1188,en trámite,False,False,False,False,False,False,False,False,HouseType 1: Pisos,False,False,False,True,3,"San Cristóbal, Madrid",1960.0,1,64.0,1.0,sur,40.3433537,-3.6878175
3,110000,1719,E,False,False,False,False,False,False,False,True,HouseType 1: Pisos,False,False,False,False,2,"San Cristóbal, Madrid",1968.0,2,64.0,1.0,sur,40.3433537,-3.6878175
4,94000,1446,en trámite,False,True,False,False,False,False,False,True,HouseType 1: Pisos,False,False,False,False,3,"San Cristóbal, Madrid",1968.0,1,65.0,1.0,sur,40.3433537,-3.6878175
5,110000,1692,E,False,True,False,False,False,False,False,False,HouseType 1: Pisos,False,False,False,False,2,"San Cristóbal, Madrid",1962.0,2,65.0,1.0,sur,40.3433537,-3.6878175
6,120000,1846,en trámite,False,False,False,False,False,False,False,False,HouseType 1: Pisos,True,True,False,False,3,"San Cristóbal, Madrid",1968.0,Entreplanta exterior,65.0,1.0,sur,40.3433537,-3.6878175
7,120000,1846,en trámite,False,True,False,False,False,False,False,True,HouseType 1: Pisos,False,False,False,False,3,"San Cristóbal, Madrid",1968.0,2,65.0,1.0,sur,40.3433537,-3.6878175
8,108000,1662,en trámite,False,True,False,False,False,False,False,False,HouseType 1: Pisos,False,False,False,False,3,"San Cristóbal, Madrid",1968.0,4,65.0,1.0,sur,40.3433537,-3.6878175
9,95000,1462,G,False,True,False,False,False,False,False,True,HouseType 1: Pisos,False,False,False,False,3,"San Cristóbal, Madrid",1960.0,2,65.0,1.0,sur,40.3433537,-3.6878175
10,104900,1589,en trámite,False,True,False,False,False,False,False,True,HouseType 1: Pisos,False,False,False,False,3,"San Cristóbal, Madrid",1968.0,1,66.0,1.0,sur,40.3433537,-3.6878175
11,88000,1333,en trámite,False,False,False,False,False,False,False,False,HouseType 1: Pisos,False,False,False,False,3,"San Cristóbal, Madrid",1968.0,2,66.0,1.0,sur,40.3433537,-3.6878175
12,96000,1455,en trámite,False,True,False,False,False,False,False,False,HouseType 1: Pisos,False,False,False,False,2,"San Cristóbal, Madrid",1968.0,2,66.0,1.0,sur,40.3433537,-3.6878175
13,88000,1333,en trámite,False,True,False,False,False,False,False,False,HouseType 1: Pisos,False,False,False,False,3,"San Cristóbal, Madrid",1968.0,2,66.0,1.0,sur,40.3433537,-3.6878175
14,100000,1351,E,False,False,False,False,False,False,False,False,HouseType 1: Pisos,False,False,False,False,3,"San Cristóbal, Madrid",1968.0,1,74.0,1.0,sur,40.3433537,-3.6878175
15,107000,1551,en trámite,False,False,False,False,False,False,True,True,HouseType 1: Pisos,False,False,False,False,3,"San Cristóbal, Madrid",1961.0,4,69.0,1.0,sur,40.3433537,-3.6878175
16,85900,1245,en trámite,False,True,False,False,False,False,False,True,HouseType 1: Pisos,False,False,False,False,4,"San Cristóbal, Madrid",1968.0,3,69.0,1.0,sur,40.3433537,-3.6878175
17,184000,1937,en trámite,False,True,False,False,False,False,True,False,HouseType 1: Pisos,True,False,False,False,2,"San Cristóbal, Madrid",2011.0,5,95.0,2.0,sur,40.3433537,-3.6878175
18,73000,1217,en trámite,False,False,False,False,False,False,False,False,HouseType 1: Pisos,False,False,False,False,2,"San Cristóbal, Madrid",1960.0,5,60.0,1.0,sur,40.3433537,-3.6878175
19,74550,1242,no indicado,False,False,False,False,False,False,False,False,HouseType 1: Pisos,False,False,False,True,3,"San Cristóbal, Madrid",1960.0,2,60.0,1.0,sur,40.3433537,-3.6878175
20,95000,1583,en trámite,False,False,False,False,False,False,False,False,HouseType 1: Pisos,False,False,False,False,2,"San Cristóbal, Madrid",1968.0,3,60.0,1.0,sur,40.3433537,-3.6878175
21,120000,2000,en trámite,False,False,False,False,False,False,False,False,HouseType 1: Pisos,True,True,False,False,3,"San Cristóbal, Madrid",1968.0,Entreplanta exterior,60.0,1.0,sur,40.3433537,-3.6878175
22,140000,2333,en trámite,False,False,False,False,False,False,False,False,HouseType 1: Pisos,False,False,False,False,3,"San Cristóbal, Madrid",1968.0,4,60.0,1.0,sur,40.3433537,-3.6878175
23,145000,2417,en trámite,False,False,False,False,False,False,False,False,HouseType 1: Pisos,False,False,False,False,3,"San Cristóbal, Madrid",1968.0,4,60.0,1.0,sur,40.3433537,-3.6878175
24,75000,1250,E,False,True,False,False,False,False,False,False,HouseType 1: Pisos,False,False,False,True,4,"San Cristóbal, Madrid",1960.0,5,60.0,1.0,sur,40.3433537,-3.6878175
25,105000,1750,en trámite,False,True,False,False,False,False,True,False,HouseType 1: Pisos,False,False,False,False,3,"San Cristóbal, Madrid",1968.0,1,60.0,1.0,sur,40.3433537,-3.6878175
26,70000,1167,en trámite,False,True,False,False,False,False,False,False,HouseType 1: Pisos,False,False,False,False,2,"San Cristóbal, Madrid",1968.0,Bajo,60.0,1.0,sur,40.3433537,-3.6878175
27,66000,1100,F,False,False,False,False,False,False,False,True,HouseType 1: Pisos,False,False,False,True,3,"San Cristóbal, Madrid",1960.0,6,60.0,1.0,sur,40.3433537,-3.6878175
28,70000,1167,en trámite,False,False,False,False,False,False,False,False,HouseType 1: Pisos,False,False,False,False,2,"San Cristóbal, Madrid",1960.0,5,60.0,1.0,sur,40.3433537,-3.6878175
29,110000,1833,en trámite,False,False,False,False,False,False,False,False,HouseType 1: Pisos,False,False,False,False,3,"San Cristóbal, Madrid",1960.0,1,60.0,1.0,sur,40.3433537,-3.6878175
30,68260,1138,F,False,False,False,False,False,False,False,False,HouseType 1: Pisos,False,False,False,False,2,"San Cristóbal, Madrid",1966.0,1,60.0,1.0,sur,40.3433537,-3.6878175
31,130000,2167,en trámite,False,True,False,False,False,False,False,False,HouseType 1: Pisos,True,False,False,False,2,"San Cristóbal, Madrid",1968.0,Bajo,60.0,1.0,sur,40.3433537,-3.6878175
32,82260,1306,en trámite,False,False,False,False,False,False,False,False,HouseType 1: Pisos,True,False,False,False,2,"San Cristóbal, Madrid",1968.0,2,63.0,1.0,sur,40.3433537,-3.6878175
33,82000,1302,en trámite,False,False,False,False,False,False,False,False,HouseType 1: Pisos,False,False,False,False,3,"San Cristóbal, Madrid",1960.0,4,63.0,1.0,sur,40.3433537,-3.6878175
34,102000,1619,no indicado,False,True,False,False,False,False,False,False,HouseType 1: Pisos,False,False,False,True,2,"San Cristóbal, Madrid",1962.0,1,63.0,1.0,sur,40.3433537,-3.6878175
35,119000,1889,en trámite,False,True,False,False,False,False,True,False,HouseType 1: Pisos,False,False,False,False,3,"San Cristóbal, Madrid",1968.0,5,63.0,1.0,sur,40.3433537,-3.6878175
36,69900,1110,en trámite,False,False,False,False,False,False,False,False,HouseType 1: Pisos,False,False,False,False,3,"San Cristóbal, Madrid",1968.0,1,63.0,1.0,sur,40.3433537,-3.6878175
37,99000,1414,en trámite,False,False,False,False,False,False,False,False,HouseType 1: Pisos,False,False,False,False,3,"San Cristóbal, Madrid",1968.0,3,70.0,1.0,sur,40.3433537,-3.6878175
38,142500,2036,en trámite,False,False,False,False,False,False,False,False,HouseType 1: Pisos,False,False,False,False,3,"San Cristóbal, Madrid",1968.0,2,70.0,1.0,sur,40.3433537,-3.6878175
39,85000,1214,no indicado,False,True,False,False,False,False,False,True,HouseType 1: Pisos,False,False,False,True,3,"San Cristóbal, Madrid",1960.0,1,70.0,1.0,sur,40.3433537,-3.6878175
40,95000,1357,B,False,True,False,False,False,False,False,False,HouseType 1: Pisos,False,False,False,False,3,"San Cristóbal, Madrid",1968.0,4,70.0,1.0,sur,40.3433537,-3.6878175
41,97000,1386,en trámite,False,False,False,False,False,False,False,False,HouseType 1: Pisos,False,False,False,False,3,"San Cristóbal, Madrid",1968.0,5,70.0,1.0,sur,40.3433537,-3.6878175
42,108000,1543,en trámite,False,True,False,False,False,False,False,False,HouseType 1: Pisos,False,False,False,False,3,"San Cristóbal, Madrid",1968.0,2,70.0,1.0,sur,40.3433537,-3.6878175
43,97500,1393,F,False,False,False,False,False,False,False,False,HouseType 1: Pisos,False,False,False,False,2,"San Cristóbal, Madrid",1968.0,1,70.0,1.0,sur,40.3433537,-3.6878175
44,120000,1714,E,False,False,False,False,False,False,False,True,HouseType 1: Pisos,True,False,False,False,3,"San Cristóbal, Madrid",1970.0,3,70.0,1.0,sur,40.3433537,-3.6878175
45,83900,1234,en trámite,False,False,False,False,False,False,False,False,HouseType 1: Pisos,False,False,False,False,3,"San Cristóbal, Madrid",1968.0,4,68.0,1.0,sur,40.3433537,-3.6878175
46,88000,1294,en trámite,False,False,False,False,False,False,False,False,HouseType 1: Pisos,False,False,False,False,3,"San Cristóbal, Madrid",1968.0,2,68.0,1.0,sur,40.3433537,-3.6878175
47,94000,1382,en trámite,False,False,False,False,False,False,False,False,HouseType 1: Pisos,False,False,False,False,3,"San Cristóbal, Madrid",1968.0,2,68.0,1.0,sur,40.3433537,-3.6878175
48,88000,1294,no indicado,False,False,False,False,False,False,False,False,HouseType 1: Pisos,False,False,False,True,3,"San Cristóbal, Madrid",1960.0,1,68.0,1.0,sur,40.3433537,-3.6878175
49,120000,1765,no indicado,False,True,False,False,False,False,False,False,HouseType 1: Pisos,True,False,False,False,2,"San Cristóbal, Madrid",1968.0,8,68.0,1.0,sur,40.3433537,-3.6878175
50,59000,1967,E,False,False,False,True,False,False,False,False,HouseType 1: Pisos,True,False,False,False,1,"San Cristóbal, Madrid",1960.0,Bajo,30.0,1.0,sur,40.3433537,-3.6878175
