iter	MultiClass
0	1.82126375
1	1.739108104
2	1.671057963
3	1.607507855
4	1.554621996
5	1.509127517
6	1.462876559
7	1.42431902
8	1.390045174
9	1.3564822
10	1.324601034
11	1.300624083
12	1.274509128
13	1.253244631
14	1.227939121
15	1.209771476
16	1.191833891
17	1.177312026
18	1.160731317
19	1.144113445
20	1.128091638
21	1.112778681
22	1.099568414
23	1.086740142
24	1.07311181
25	1.062174202
26	1.051984887
27	1.042605379
28	1.033102819
29	1.024622006
30	1.016330708
31	1.009013986
32	1.000694545
33	0.9918098879
34	0.9838704709
35	0.9754724986
36	0.9698024142
37	0.9622647708
38	0.955406918
39	0.9466814967
40	0.9413607968
41	0.9328423905
42	0.9263711479
43	0.9197648538
44	0.9128040463
45	0.9076400223
46	0.9016944485
47	0.8956263086
48	0.8893098233
49	0.8828807566
50	0.877662268
51	0.8724014366
52	0.8664748893
53	0.8601279473
54	0.8553361804
55	0.8489351177
56	0.8436773254
57	0.8385532312
58	0.8341550863
59	0.8295004036
60	0.8244706959
61	0.8194568568
62	0.8150881208
63	0.8117481242
64	0.8068052065
65	0.802848034
66	0.7991395003
67	0.794635524
68	0.7909087242
69	0.7876043376
70	0.7838249929
71	0.780166213
72	0.7760564304
73	0.7736985494
74	0.7703819254
75	0.7677054154
76	0.7643293392
77	0.7603215646
78	0.7565551354
79	0.7546097399
80	0.7521078489
81	0.7478819866
82	0.7460628124
83	0.7430881573
84	0.7400938435
85	0.7381075337
86	0.7349308765
87	0.7328687164
88	0.7302004239
89	0.7268510626
90	0.723540564
91	0.7203273293
92	0.7175432507
93	0.7148445057
94	0.71192562
95	0.7087609554
96	0.7052187847
97	0.7026539871
98	0.6991290559
99	0.6969453086
100	0.6937131403
101	0.6911056083
102	0.6890916776
103	0.68702117
104	0.6838885388
105	0.6818908489
106	0.67862068
107	0.6763626764
108	0.6737423998
109	0.6716477029
110	0.6691635931
111	0.6665119022
112	0.6653981603
113	0.6635859658
114	0.6621757205
115	0.6608048645
116	0.6595376821
117	0.6576291335
118	0.6562182269
119	0.6546844761
120	0.6529016636
121	0.6511163802
122	0.6490589433
123	0.6480032831
124	0.6457607827
125	0.6437289652
126	0.6421083259
127	0.6406697396
128	0.6386200579
129	0.6375051532
130	0.6362313379
131	0.634284571
132	0.6326020183
133	0.6311790112
134	0.6283542408
135	0.6263008251
136	0.62449387
137	0.6233659287
138	0.6209459357
139	0.6195711348
140	0.6183284296
141	0.6164472625
142	0.6140358739
143	0.6124596188
144	0.6103731233
145	0.6088002971
146	0.606928905
147	0.6059841146
148	0.6046919784
149	0.603165074
150	0.6005487986
151	0.5992830719
152	0.5979104406
153	0.5967211948
154	0.595448731
155	0.5942650929
156	0.5925960583
157	0.591005912
158	0.5897737054
159	0.5889534938
160	0.587728809
161	0.5866676611
162	0.5850794041
163	0.5834473304
164	0.5819404326
165	0.580855461
166	0.5796405823
167	0.5784157254
168	0.577276173
169	0.576117585
170	0.5750687233
171	0.5738549364
172	0.5727847221
173	0.5721694992
174	0.5711785663
175	0.5702393305
176	0.5682259287
177	0.5673424531
178	0.5660266845
179	0.564184068
180	0.5622712772
181	0.5608314494
182	0.5594989824
183	0.5585158195
184	0.5574690264
185	0.5557999225
186	0.5546452231
187	0.5528971032
188	0.5521421724
189	0.5506531395
190	0.5488125657
191	0.5473430249
192	0.5455284397
193	0.5443280177
194	0.5432769178
195	0.5419932236
196	0.5410178614
197	0.5401298347
198	0.5381262296
199	0.536608377
200	0.53582016
201	0.5352632679
202	0.5337731111
203	0.5327334473
204	0.5318774368
205	0.5304248233
206	0.5292563479
207	0.5285066889
208	0.5271965759
209	0.5264481212
210	0.5254663862
211	0.5244765186
212	0.5235808295
213	0.5226822969
214	0.5216738981
215	0.5211391717
216	0.519711028
217	0.5183758398
218	0.5172695779
219	0.5159580901
220	0.5150794651
221	0.5139493506
222	0.5125128479
223	0.5116288911
