iter	Passed	Remaining
0	13	13657
1	27	13568
2	39	13261
3	53	13294
4	66	13235
5	79	13139
6	92	13082
7	105	13041
8	118	13038
9	132	13121
10	146	13199
11	160	13181
12	173	13157
13	186	13120
14	199	13129
15	213	13109
16	226	13091
17	239	13078
18	252	13044
19	266	13052
20	280	13056
21	292	13009
22	305	12984
23	318	12949
24	331	12928
25	344	12906
26	358	12903
27	371	12896
28	384	12863
29	397	12855
30	410	12818
31	423	12800
32	436	12786
33	449	12767
34	462	12747
35	475	12732
36	488	12724
37	503	12735
38	516	12727
39	530	12738
40	543	12722
41	556	12703
42	570	12686
43	584	12690
44	596	12665
45	610	12666
46	624	12654
47	636	12633
48	650	12620
49	663	12605
50	677	12598
51	690	12588
52	703	12565
53	716	12554
54	729	12534
55	742	12524
56	755	12505
57	768	12478
58	781	12471
59	795	12459
60	808	12447
61	821	12431
62	834	12415
63	847	12397
64	861	12387
65	875	12384
66	888	12372
67	901	12351
68	914	12343
69	927	12326
70	941	12321
71	955	12309
72	967	12291
73	981	12281
74	994	12268
75	1007	12252
76	1020	12236
77	1033	12220
78	1046	12200
79	1059	12185
80	1072	12172
81	1087	12169
82	1099	12151
83	1112	12132
84	1125	12111
85	1138	12094
86	1151	12082
87	1164	12067
88	1177	12057
89	1190	12040
90	1204	12028
91	1216	12007
92	1228	11985
93	1241	11965
94	1254	11952
95	1267	11936
96	1280	11918
97	1293	11904
98	1306	11889
99	1320	11881
100	1333	11870
101	1346	11854
102	1358	11830
103	1371	11816
104	1384	11800
105	1397	11789
106	1411	11783
107	1425	11771
108	1438	11761
109	1451	11746
110	1464	11729
111	1478	11719
112	1491	11705
113	1503	11688
114	1516	11672
115	1529	11657
116	1541	11637
117	1555	11624
118	1568	11608
119	1580	11590
120	1593	11577
121	1606	11561
122	1619	11547
123	1632	11534
124	1645	11521
125	1659	11507
126	1671	11492
127	1684	11475
128	1697	11464
129	1710	11449
130	1724	11439
131	1737	11426
132	1750	11413
133	1763	11399
134	1776	11384
135	1790	11373
136	1803	11358
137	1815	11340
138	1828	11326
139	1842	11317
140	1855	11301
141	1868	11288
142	1881	11274
143	1894	11259
144	1907	11245
145	1920	11232
146	1933	11221
147	1947	11209
148	1960	11197
149	1973	11184
150	1986	11171
151	2000	11158
152	2012	11142
153	2026	11130
154	2038	11112
155	2051	11100
156	2064	11085
157	2078	11075
158	2090	11055
159	2102	11038
160	2115	11026
161	2128	11009
162	2141	10997
163	2154	10983
164	2168	10972
