iter	Passed	Remaining
0	2	2066
1	4	2026
2	5	1962
3	7	1924
4	9	1896
5	12	1999
6	13	1981
7	15	1956
8	17	1924
9	19	1900
10	21	1907
11	23	1899
12	24	1879
13	26	1887
14	28	1888
15	30	1882
16	32	1871
17	34	1863
18	36	1861
19	37	1855
20	39	1855
21	41	1850
22	43	1857
23	45	1853
24	47	1844
25	49	1837
26	50	1832
27	52	1827
28	54	1825
29	56	1833
30	59	1845
31	60	1842
32	62	1833
33	64	1828
34	66	1824
35	67	1818
36	69	1811
37	71	1806
38	73	1802
39	75	1802
40	76	1800
41	78	1796
42	80	1791
43	82	1785
44	83	1779
45	85	1773
46	87	1768
47	89	1765
48	90	1763
49	92	1759
50	94	1753
51	95	1748
52	97	1743
53	99	1740
54	101	1737
55	102	1735
56	104	1731
57	106	1727
58	108	1723
59	109	1721
60	111	1717
61	113	1715
62	115	1711
63	116	1707
64	118	1704
65	120	1702
66	122	1700
67	124	1699
68	125	1696
69	127	1693
70	129	1691
71	130	1688
72	132	1683
73	134	1680
74	135	1677
75	137	1674
76	139	1674
77	141	1676
78	143	1676
79	145	1675
80	147	1672
81	149	1669
82	150	1667
83	152	1664
84	154	1661
85	156	1658
86	157	1656
87	159	1655
88	161	1653
89	163	1650
90	164	1648
91	166	1646
92	168	1644
93	170	1641
94	172	1639
95	173	1637
96	175	1635
97	177	1632
98	179	1630
99	180	1627
100	182	1624
101	184	1621
102	186	1619
103	187	1616
104	189	1613
105	190	1610
106	192	1607
107	194	1603
108	195	1600
109	197	1597
110	199	1594
111	200	1591
112	202	1589
113	204	1587
114	206	1585
115	207	1582
116	209	1579
117	210	1576
118	212	1573
119	214	1570
120	216	1569
121	217	1568
122	219	1567
123	221	1564
124	223	1562
125	224	1560
126	226	1557
127	228	1555
128	229	1552
129	231	1550
130	233	1549
131	235	1548
132	237	1545
133	238	1542
134	240	1540
135	242	1538
136	243	1535
137	245	1533
138	247	1531
139	248	1529
140	250	1527
141	252	1525
142	254	1522
143	255	1520
144	257	1519
145	259	1517
146	262	1524
147	264	1522
148	266	1521
149	268	1519
150	269	1517
151	271	1514
152	273	1511
153	274	1509
154	276	1507
155	278	1504
156	279	1501
157	281	1499
158	283	1497
159	284	1494
160	286	1492
161	287	1489
162	289	1487
163	291	1484
164	292	1481
165	294	1479
166	296	1476
167	297	1474
168	299	1472
169	300	1469
170	302	1466
171	304	1464
172	305	1461
173	307	1458
174	308	1456
175	310	1453
176	312	1451
177	313	1449
178	315	1447
179	317	1446
180	319	1444
181	320	1442
182	322	1440
183	324	1437
184	325	1435
185	327	1433
186	329	1431
187	331	1430
188	332	1427
189	334	1425
190	335	1422
191	337	1420
192	339	1418
193	340	1415
194	342	1413
195	343	1410
196	345	1409
197	347	1407
198	349	1405
199	350	1403
200	352	1401
201	354	1399
202	356	1397
203	357	1395
204	359	1393
205	361	1392
206	362	1389
207	364	1387
208	366	1385
209	367	1382
210	369	1380
211	370	1378
212	372	1375
213	373	1373
214	375	1371
215	377	1369
216	379	1367
217	380	1365
218	382	1363
219	383	1361
220	385	1358
221	387	1356
222	388	1354
223	390	1352
224	392	1350
225	394	1349
226	395	1347
227	397	1345
228	399	1343
229	400	1341
230	402	1339
231	403	1336
232	405	1334
233	407	1332
234	408	1330
235	410	1329
236	412	1328
237	414	1326
238	415	1324
239	417	1322
240	419	1320
241	420	1318
242	422	1316
243	424	1315
244	426	1313
245	428	1312
246	429	1310
247	431	1307
248	432	1305
249	434	1303
250	436	1301
251	437	1299
252	439	1297
253	441	1295
